airname,AIRLINE,avtaxiout
US Airways Inc.,US,18.998512019688707
Skywest Airlines Inc.,OO,18.137853796891239
JetBlue Airways,B6,17.863403576525979
American Airlines Inc.,AA,17.760880024125669
Delta Air Lines Inc.,DL,17.60270833931806
United Air Lines Inc.,UA,17.407923397182103
Atlantic Southeast Airlines,EV,16.73069587851867
American Eagle Airlines Inc.,MQ,16.540659490442643
Frontier Airlines Inc.,F9,15.670806970806968
Alaska Airlines Inc.,AS,15.092732692094566
Virgin America,VX,14.743534482758628
Spirit Air Lines,NK,14.600730947192975
Southwest Airlines Co.,WN,11.940594959928484
Hawaiian Airlines Inc.,HA,10.950500387948594
