airport_name,airport_code,avg_taxiout,total_flights_2015
Newark Liberty International Airport,EWR,20.190714126446721,101772
Gen. Edward Lawrence Logan International Airport,BOS,20.019864843029872,107847
Charlotte Douglas International Airport,CLT,19.653152926241987,100324
Chicago O'Hare International Airport,ORD,19.545272993374518,285884
Detroit Metropolitan Airport,DTW,18.20210514539297,108500
George Bush Intercontinental Airport,IAH,17.808189416583563,146622
San Francisco International Airport,SFO,17.760334996436239,148008
Minneapolis-Saint Paul International Airport,MSP,17.479952215854944,112117
Hartsfield-Jackson Atlanta International Airport,ATL,17.407964707146636,346836
Dallas/Fort Worth International Airport,DFW,17.242344129606614,239551
Los Angeles International Airport,LAX,16.945590244054486,194673
Seattle-Tacoma International Airport,SEA,16.7586593999529,110899
Denver International Airport,DEN,15.970216187795852,196055
Phoenix Sky Harbor International Airport,PHX,15.300655744444635,146815
McCarran International Airport,LAS,14.712141604161628,133181
Orlando International Airport,MCO,14.599796130112631,110982
